,Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Biovolume (Cylinder),Biovolume (P. Spheroid),Biovolume (Sphere),Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Particles Per Chain,Perimeter,Roughness,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width,imgpaths,class
2714,293,604.41,801.84,0.2,7587.97,8769.38,11177.88,0.2752,1,1,870,21,0.0,0.35,0.34,2.89,157.16,0.8,2020-11-11,27.74,49.15,55.29,58.36,6.94,-85.0,5.0,0.11,0.9,0.0,0.14,77.48,11.17,campanian_11nov_5_fc80_20x_000005.tif,267,87,1102,0,89.13,69.99,1,177.29,2.64,25.88,1275,0.0,20,0.0,4468.26,776255.0,0.5,13:37:02,2020-11-11T12:37:02.794,0.44,11177.88,62160.76,17.11,train/camp_11nov_5_fc80_20x_293.png,0
2727,306,478.07,525.65,0.73,2580.8,11699.26,7863.22,0.2752,1,1,114,750,0.1,0.16,0.73,6.32,102.63,0.77,2020-11-11,24.67,31.8,43.75,60.72,17.81,80.0,10.0,1.85,0.35,0.0,0.06,101.38,5.69,campanian_11nov_5_fc80_20x_000005.tif,142,116,671,269,88.06,35.54,1,214.15,2.93,35.21,1327,0.0,14,0.0,753.33,613077.0,0.26,13:37:05,2020-11-11T12:37:05.157,0.22,7863.217,16843.01,27.21,train/camp_11nov_5_fc80_20x_306.png,0
2730,309,276.16,580.35,0.66,8207.94,9282.14,3452.35,0.2752,1,1,679,53,0.45,0.66,0.87,1.52,97.55,0.94,2020-11-11,18.75,30.19,68.89,61.35,2.34,35.0,-30.0,0.12,0.89,0.0,0.43,38.51,16.47,campanian_11nov_5_fc80_20x_000005.tif,129,124,891,269,88.07,34.25,1,109.97,2.65,27.76,1341,0.0,2,0.0,9617.33,364970.0,0.63,13:37:05,2020-11-11T12:37:05.797,0.38,3452.355,14403.98,22.88,train/camp_11nov_5_fc80_20x_309.png,0
2733,312,99.31,100.26,0.28,440.1,417.97,744.47,0.2752,1,1,449,857,0.0,0.39,0.46,2.6,53.45,0.83,2020-11-11,11.24,16.16,83.36,61.95,5.99,70.0,-15.0,0.2,0.83,0.0,0.17,27.2,4.54,campanian_11nov_5_fc80_20x_000005.tif,93,52,1170,269,81.39,22.69,1,63.47,1.24,33.08,1354,126.05,2,0.0,300.97,131519.0,0.48,13:37:06,2020-11-11T12:37:06.384,0.3,744.4713,2208.787,7.2,train/camp_11nov_5_fc80_20x_312.png,0
2739,318,117.12,122.76,0.7,816.78,913.22,953.47,0.2752,1,1,1095,213,0.55,0.59,0.9,1.7,46.36,0.98,2020-11-11,12.21,13.9,56.07,63.31,3.02,-20.0,45.0,0.29,0.77,0.0,0.33,21.14,7.01,campanian_11nov_5_fc80_20x_000005.tif,59,72,200,413,90.82,16.34,1,56.32,1.51,29.14,1384,563.39,1,0.0,193.78,170374.0,0.62,13:37:07,2020-11-11T12:37:07.751,0.12,953.4732,1407.097,11.1,train/camp_11nov_5_fc80_20x_318.png,0
2744,323,1016.08,1024.57,0.65,14352.95,21829.2,24364.38,0.2752,1,1,882,385,0.36,0.51,0.86,1.97,132.93,0.91,2020-11-11,35.97,41.44,43.11,63.95,3.94,65.0,-40.0,0.29,0.77,0.0,0.25,65.74,16.67,campanian_11nov_5_fc80_20x_000005.tif,184,147,472,413,79.85,50.78,1,164.82,1.43,26.92,1398,0.0,7,0.0,3367.09,1146355.0,0.58,13:37:08,2020-11-11T12:37:08.383,0.13,24364.38,37269.81,32.4,train/camp_11nov_5_fc80_20x_323.png,0
2745,324,324.59,766.71,0.35,7292.99,9956.47,4399.23,0.2752,1,1,703,552,0.0,0.36,0.6,2.79,133.1,0.93,2020-11-11,20.33,41.5,71.2,64.23,6.6,60.0,-30.0,0.25,0.8,0.0,0.15,73.96,11.21,campanian_11nov_5_fc80_20x_000005.tif,204,131,621,413,96.88,58.97,1,170.32,2.52,27.79,1404,15881.35,0,0.0,0.0,467334.0,0.45,13:37:08,2020-11-11T12:37:08.657,0.51,4399.227,37412.0,21.27,train/camp_11nov_5_fc80_20x_324.png,0
2746,325,1062.95,1074.39,0.37,11070.34,17123.22,26069.68,0.2752,1,1,33,636,0.0,0.32,0.61,3.1,159.27,0.84,2020-11-11,36.79,49.82,46.77,64.49,7.61,55.0,-35.0,0.33,0.75,0.0,0.13,93.42,12.28,campanian_11nov_5_fc80_20x_000005.tif,221,175,754,413,63.65,70.39,1,211.42,1.54,31.33,1410,21968.93,1,0.0,223.95,954554.0,0.55,13:37:08,2020-11-11T12:37:08.932,0.26,26069.68,64745.34,28.89,train/camp_11nov_5_fc80_20x_325.png,0
2754,333,698.88,1867.37,0.72,37272.76,60805.42,13898.36,0.2752,1,1,49,115,0.39,0.56,0.85,1.8,182.38,0.98,2020-11-11,29.83,57.17,69.76,65.22,3.36,-25.0,65.0,0.24,0.81,0.0,0.3,81.23,24.17,campanian_11nov_5_fc80_20x_000005.tif,197,231,100,636,76.79,65.74,1,210.81,3.31,26.03,1426,31153.73,2,0.0,12616.51,768642.0,0.57,13:37:09,2020-11-11T12:37:09.657,0.48,13898.36,97850.85,45.01,train/camp_11nov_5_fc80_20x_333.png,0
2775,354,419.67,461.71,0.35,3824.02,4520.65,6467.45,0.2752,1,1,360,702,0.02,0.4,0.6,2.48,103.63,0.9,2020-11-11,23.12,32.12,36.76,70.22,5.6,85.0,10.0,0.21,0.83,0.0,0.18,53.44,9.55,campanian_11nov_5_fc80_20x_000006.tif,175,77,0,0,81.27,44.19,1,125.96,1.79,15.44,1536,0.0,8,0.0,1566.43,499864.0,0.67,13:37:14,2020-11-11T12:37:14.656,0.28,6467.453,17354.77,15.14,train/camp_11nov_5_fc80_20x_354.png,0
2777,356,574.19,610.57,0.46,6850.82,7853.43,10350.24,0.2752,1,1,605,684,0.22,0.51,0.73,1.95,108.0,0.92,2020-11-11,27.04,33.51,61.73,70.45,3.88,-85.0,10.0,0.16,0.86,0.0,0.26,50.85,13.1,campanian_11nov_5_fc80_20x_000006.tif,173,92,117,0,71.08,43.76,1,127.9,1.83,30.74,1541,0.0,2,0.0,12453.73,589371.0,0.56,13:37:14,2020-11-11T12:37:14.883,0.19,10350.24,19702.26,18.97,train/camp_11nov_5_fc80_20x_356.png,0
2778,357,91.14,91.14,0.28,191.73,2779.14,654.53,0.2752,1,1,701,909,0.0,0.12,0.14,8.42,84.3,0.4,2020-11-11,10.77,25.97,67.4,70.54,24.41,10.0,90.0,0.44,0.7,0.0,0.04,52.59,2.15,campanian_11nov_5_fc80_20x_000006.tif,51,146,211,0,89.61,36.58,1,109.48,1.29,25.18,1543,0.0,6,0.0,708.94,134063.0,0.17,13:37:14,2020-11-11T12:37:14.974,0.59,654.5264,9173.723,11.42,train/camp_11nov_5_fc80_20x_357.png,0
2808,387,573.25,899.42,0.76,14108.14,17962.83,10324.8,0.2752,1,1,319,511,0.67,0.61,0.95,1.64,115.07,0.97,2020-11-11,27.02,35.76,39.57,74.72,2.8,50.0,-25.0,0.28,0.78,0.0,0.36,52.0,18.59,campanian_11nov_5_fc80_20x_000006.tif,151,130,528,177,96.85,40.58,1,141.17,3.54,38.12,1635,2047.55,1,0.0,10893.14,801795.0,0.79,13:37:19,2020-11-11T12:37:19.158,0.24,10324.8,23942.38,29.84,train/camp_11nov_5_fc80_20x_387.png,0
2812,391,339.17,361.2,0.48,1459.59,6706.77,4698.77,0.2752,1,1,129,835,0.0,0.15,0.51,6.74,94.63,0.73,2020-11-11,20.78,29.26,44.43,76.08,19.11,55.0,-20.0,1.26,0.44,0.0,0.05,87.88,4.6,campanian_11nov_5_fc80_20x_000006.tif,125,99,779,177,81.47,38.81,1,184.95,2.51,25.34,1665,0.0,12,0.0,4835.97,409650.0,0.53,13:37:20,2020-11-11T12:37:20.519,0.29,4698.769,13113.13,17.02,train/camp_11nov_5_fc80_20x_391.png,0
2813,392,263.81,1013.15,0.77,19402.21,24050.11,3223.33,0.2752,1,1,735,276,0.51,0.69,0.89,1.45,130.02,0.98,2020-11-11,18.33,40.52,88.03,76.22,2.09,35.0,-25.0,0.0,1.01,0.0,0.48,47.59,22.78,campanian_11nov_5_fc80_20x_000006.tif,157,164,880,177,89.55,48.16,1,140.74,2.17,20.9,1668,24854.36,1,0.0,191.29,355529.0,0.66,13:37:20,2020-11-11T12:37:20.657,0.55,3223.33,34826.11,35.46,train/camp_11nov_5_fc80_20x_392.png,0
2815,394,838.53,946.71,0.41,14508.74,13967.98,18265.79,0.2752,1,1,675,742,0.16,0.58,0.7,1.72,133.53,0.98,2020-11-11,32.67,41.63,53.18,76.35,3.07,-40.0,45.0,0.0,1.04,0.0,0.33,55.82,18.19,campanian_11nov_5_fc80_20x_000006.tif,156,180,1082,177,77.59,58.02,1,148.02,2.68,23.07,1671,0.0,20,0.0,1494.7,925449.0,0.8,13:37:20,2020-11-11T12:37:20.793,0.22,18265.79,37784.98,23.75,train/camp_11nov_5_fc80_20x_394.png,0
2816,395,295.37,326.17,0.27,2274.45,3023.34,3818.61,0.2752,1,1,650,482,0.0,0.39,0.41,2.57,99.67,0.76,2020-11-11,19.39,30.86,62.03,76.39,5.89,35.0,-60.0,0.13,0.89,0.0,0.17,46.51,7.89,campanian_11nov_5_fc80_20x_000006.tif,110,151,0,336,83.84,41.17,1,108.81,1.6,32.25,1672,0.0,10,0.0,220.6,370082.0,0.36,13:37:20,2020-11-11T12:37:20.839,0.37,3818.605,15389.7,14.35,train/camp_11nov_5_fc80_20x_395.png,0
2817,396,358.48,361.2,0.53,886.83,24679.55,5105.78,0.2752,1,1,628,633,0.04,0.06,0.25,17.12,124.27,0.45,2020-11-11,21.36,38.69,49.27,76.67,51.77,-80.0,0.0,1.92,0.34,0.0,0.02,144.64,2.79,campanian_11nov_5_fc80_20x_000006.tif,191,105,153,336,92.39,49.54,1,294.86,2.44,21.86,1678,0.0,18,0.0,2124.95,489502.0,0.46,13:37:21,2020-11-11T12:37:21.111,0.45,5105.778,30319.62,24.91,train/camp_11nov_5_fc80_20x_396.png,0
2820,399,326.45,364.28,0.72,766.71,15528.87,4437.02,0.2752,1,1,675,509,0.02,0.04,0.43,23.22,103.97,0.52,2020-11-11,20.39,32.23,41.56,77.17,70.94,-50.0,25.0,3.4,0.23,0.0,0.01,170.0,2.4,campanian_11nov_5_fc80_20x_000006.tif,138,121,364,336,106.49,38.64,1,344.8,4.13,19.19,1689,0.0,19,0.0,784.66,516484.0,0.51,13:37:21,2020-11-11T12:37:21.611,0.37,4437.017,17527.96,27.3,train/camp_11nov_5_fc80_20x_399.png,0
2830,409,422.33,1452.78,0.51,27849.37,31114.84,6529.04,0.2752,1,1,711,10,0.22,0.6,0.77,1.67,159.95,0.95,2020-11-11,23.19,50.04,44.42,78.41,2.89,70.0,-5.0,0.03,0.97,0.0,0.35,66.68,23.06,campanian_11nov_5_fc80_20x_000006.tif,238,143,937,336,103.48,64.8,1,179.48,2.43,28.91,1716,41965.2,1,0.0,55.54,640319.0,0.56,13:37:22,2020-11-11T12:37:22.837,0.54,6529.037,65595.38,34.34,train/camp_11nov_5_fc80_20x_409.png,0
2831,410,507.22,639.74,0.71,8163.17,10584.86,8593.39,0.2752,1,1,946,238,0.43,0.58,0.92,1.73,99.6,0.95,2020-11-11,25.41,30.84,37.21,78.72,3.13,-75.0,0.0,0.32,0.76,0.0,0.32,46.67,14.92,campanian_11nov_5_fc80_20x_000006.tif,141,110,1082,336,92.63,35.34,1,123.18,2.52,28.96,1723,8063.05,1,0.0,1405.61,682292.0,0.46,13:37:23,2020-11-11T12:37:23.157,0.18,8593.385,15357.14,26.28,train/camp_11nov_5_fc80_20x_410.png,0
2832,411,137.69,147.12,0.46,608.22,1059.65,1215.36,0.2752,1,1,715,188,0.0,0.28,0.67,3.51,56.87,0.92,2020-11-11,13.24,17.25,40.47,79.31,8.93,75.0,-25.0,0.78,0.56,0.0,0.11,39.52,4.43,campanian_11nov_5_fc80_20x_000006.tif,92,62,1194,336,98.88,22.21,1,87.9,1.86,28.66,1736,992.21,1,0.0,77.81,214957.0,0.26,13:37:23,2020-11-11T12:37:23.751,0.23,1215.358,2686.243,10.66,train/camp_11nov_5_fc80_20x_411.png,0
2834,413,969.46,998.58,0.3,10938.25,13389.62,22706.96,0.2752,1,1,265,704,0.0,0.37,0.53,2.69,155.53,0.92,2020-11-11,35.13,48.63,50.08,80.08,6.3,-60.0,30.0,0.19,0.84,0.0,0.16,82.08,13.03,campanian_11nov_5_fc80_20x_000006.tif,239,153,36,576,70.77,68.74,1,190.21,1.72,30.15,1753,19005.62,4,0.0,442.4,970948.0,0.63,13:37:24,2020-11-11T12:37:24.520,0.28,22706.96,60223.92,20.76,train/camp_11nov_5_fc80_20x_413.png,0
2841,420,252.61,266.22,0.48,1087.57,2949.56,3020.24,0.2752,1,1,764,569,0.14,0.19,0.65,5.29,79.66,0.72,2020-11-11,17.93,24.49,27.1,83.8,14.54,-60.0,30.0,1.28,0.44,0.0,0.07,66.41,4.57,campanian_11nov_5_fc80_20x_000006.tif,114,93,469,576,93.96,29.11,1,141.95,2.1,20.14,1835,0.0,5,0.0,1454.27,358164.0,0.47,13:37:28,2020-11-11T12:37:28.247,0.27,3020.238,7694.943,18.82,train/camp_11nov_5_fc80_20x_420.png,0
2867,446,115.81,115.81,0.22,564.83,390.43,937.57,0.2752,1,1,740,220,0.0,0.42,0.41,2.41,60.32,0.96,2020-11-11,12.14,18.34,62.15,90.81,5.38,75.0,-10.0,0.04,0.96,0.0,0.19,27.5,5.11,campanian_11nov_5_fc80_20x_000006.tif,108,42,444,817,74.3,26.39,1,65.23,1.08,19.07,1989,1053.23,0,0.0,0.0,137975.0,0.74,13:37:35,2020-11-11T12:37:35.248,0.34,937.5678,3231.918,5.52,train/camp_11nov_5_fc80_20x_446.png,0
2868,447,163.96,177.94,0.39,679.31,1443.69,1579.39,0.2752,1,1,739,674,0.0,0.22,0.55,4.52,66.1,0.82,2020-11-11,14.45,20.18,46.75,90.95,12.1,85.0,0.0,0.82,0.55,0.0,0.08,50.22,4.15,campanian_11nov_5_fc80_20x_000006.tif,114,52,488,817,97.87,27.56,1,108.75,1.98,28.55,1992,858.47,2,0.0,252.99,249754.0,0.43,13:37:35,2020-11-11T12:37:35.387,0.28,1579.388,4305.342,10.32,train/camp_11nov_5_fc80_20x_447.png,0
2879,458,123.94,130.42,0.41,815.25,817.36,1037.91,0.2752,1,1,971,800,0.17,0.54,0.62,1.86,56.39,0.9,2020-11-11,12.56,17.09,40.63,93.04,3.57,85.0,0.0,0.02,0.98,0.0,0.28,23.65,6.62,campanian_11nov_5_fc80_20x_000006.tif,98,51,931,817,83.32,23.13,1,60.56,1.24,18.95,2038,405.16,3,0.0,340.68,164548.0,0.58,13:37:37,2020-11-11T12:37:37.474,0.27,1037.91,2615.704,10.04,train/camp_11nov_5_fc80_20x_458.png,0
2883,462,553.13,634.58,0.44,3933.46,10637.74,9785.93,0.2752,1,1,103,298,0.0,0.21,0.61,4.85,123.61,0.83,2020-11-11,26.54,38.48,36.57,94.26,13.16,-80.0,15.0,0.85,0.54,0.0,0.08,95.36,7.25,campanian_11nov_5_fc80_20x_000007.tif,198,116,0,0,84.99,51.44,1,205.22,2.85,26.24,2065,0.0,13,0.0,2958.32,679979.0,0.18,13:37:38,2020-11-11T12:37:38.702,0.31,9785.931,29826.65,23.56,train/camp_11nov_5_fc80_20x_462.png,0
2891,470,265.23,344.67,0.42,2001.97,3294.08,3249.37,0.2752,1,1,616,573,0.0,0.29,0.67,3.5,85.28,0.9,2020-11-11,18.38,26.28,44.84,97.41,8.89,85.0,15.0,0.66,0.6,0.0,0.11,58.64,6.59,campanian_11nov_5_fc80_20x_000007.tif,143,77,372,0,99.73,35.37,1,130.47,2.43,31.67,2134,3830.72,1,0.0,57.66,397934.0,0.45,13:37:41,2020-11-11T12:37:41.838,0.3,3249.371,9508.61,15.55,train/camp_11nov_5_fc80_20x_470.png,0
2894,473,444.06,557.61,0.53,4152.5,10386.18,7039.27,0.2752,1,1,493,554,0.09,0.31,0.64,3.27,112.38,0.74,2020-11-11,23.78,34.9,44.72,97.98,8.15,-80.0,-10.0,0.7,0.59,0.0,0.12,70.53,8.66,campanian_11nov_5_fc80_20x_000007.tif,162,112,555,0,92.27,41.44,1,158.37,2.5,31.88,2147,0.0,20,0.0,11055.05,598800.0,0.26,13:37:42,2020-11-11T12:37:42.429,0.32,7039.273,22263.19,24.13,train/camp_11nov_5_fc80_20x_473.png,0
2895,474,293.23,418.52,0.53,5305.23,5048.06,3777.27,0.2752,1,1,132,367,0.32,0.68,0.78,1.48,86.27,0.95,2020-11-11,19.32,26.6,28.12,98.22,2.2,50.0,-35.0,0.0,1.03,0.0,0.45,31.96,14.54,campanian_11nov_5_fc80_20x_000007.tif,116,110,669,0,92.3,32.86,1,93.0,2.56,28.43,2152,4822.59,1,0.0,1026.41,404627.0,0.68,13:37:42,2020-11-11T12:37:42.656,0.27,3777.268,9853.41,17.41,train/camp_11nov_5_fc80_20x_474.png,0
2897,476,518.28,531.36,0.22,1476.74,11282.94,8875.77,0.2752,1,1,1189,386,0.0,0.05,0.22,18.5,164.21,0.52,2020-11-11,25.69,51.39,49.13,98.53,56.1,75.0,-15.0,1.41,0.41,0.0,0.02,180.87,3.22,campanian_11nov_5_fc80_20x_000007.tif,280,91,824,0,97.66,74.96,1,368.18,2.44,39.45,2159,0.0,18,0.0,1125.18,734285.0,0.55,13:37:42,2020-11-11T12:37:42.977,0.5,8875.769,71064.57,21.42,train/camp_11nov_5_fc80_20x_476.png,0
2899,478,1166.12,1216.47,0.29,16101.68,17067.04,29955.69,0.2752,1,1,890,220,0.0,0.43,0.52,2.34,166.67,0.93,2020-11-11,38.53,52.18,26.45,98.72,5.16,85.0,0.0,0.13,0.88,0.0,0.19,81.7,15.84,campanian_11nov_5_fc80_20x_000007.tif,276,94,953,0,96.48,72.17,1,195.09,1.84,42.47,2163,19230.17,2,0.0,160.33,1582611.0,0.74,13:37:43,2020-11-11T12:37:43.159,0.26,29955.69,74372.86,21.88,train/camp_11nov_5_fc80_20x_478.png,0
2910,489,294.37,294.37,0.48,3031.46,2747.15,3799.29,0.2752,1,1,182,439,0.24,0.64,0.74,1.56,74.8,0.98,2020-11-11,19.36,22.95,67.5,102.59,2.48,85.0,-5.0,0.0,1.05,0.0,0.4,28.77,11.58,campanian_11nov_5_fc80_20x_000007.tif,124,67,349,282,55.13,30.23,1,80.71,1.08,20.54,2248,2902.96,1,0.0,318.15,242558.0,0.57,13:37:47,2020-11-11T12:37:47.018,0.16,3799.295,6329.82,14.2,train/camp_11nov_5_fc80_20x_489.png,0
2911,490,415.15,417.88,0.21,2746.72,3041.56,6363.07,0.2752,1,1,118,768,0.0,0.31,0.38,3.27,115.25,0.91,2020-11-11,22.99,35.82,59.83,102.71,8.17,75.0,-10.0,0.19,0.84,0.0,0.12,61.55,7.54,campanian_11nov_5_fc80_20x_000007.tif,192,71,418,282,68.44,51.61,1,138.17,1.28,27.12,2251,1.44,1,0.0,7.23,416659.0,0.55,13:37:47,2020-11-11T12:37:47.155,0.36,6363.065,24056.59,11.39,train/camp_11nov_5_fc80_20x_490.png,0
2918,497,416.73,425.93,0.26,1833.14,7730.89,6399.45,0.2752,1,1,1215,763,0.0,0.15,0.28,6.81,125.19,0.64,2020-11-11,23.03,38.98,44.47,103.68,19.36,-80.0,0.0,0.82,0.55,0.0,0.05,95.63,4.94,campanian_11nov_5_fc80_20x_000007.tif,197,65,808,282,78.62,52.47,1,201.13,1.82,39.39,2272,0.0,13,0.0,475.3,480350.0,0.61,13:37:48,2020-11-11T12:37:48.108,0.41,6399.45,31008.54,15.27,train/camp_11nov_5_fc80_20x_497.png,0
2926,505,109.29,112.86,0.77,728.26,838.49,859.52,0.2752,1,1,503,895,0.56,0.59,0.93,1.7,43.99,0.95,2020-11-11,11.8,13.15,59.68,105.49,3.02,70.0,-40.0,0.35,0.74,0.0,0.33,20.36,6.75,campanian_11nov_5_fc80_20x_000007.tif,65,58,1149,282,77.49,15.05,1,54.21,1.45,31.92,2312,0.0,2,0.0,908.54,136535.0,0.52,13:37:49,2020-11-11T12:37:49.929,0.1,859.516,1190.44,11.55,train/camp_11nov_5_fc80_20x_505.png,0
2928,507,1757.07,2008.8,0.77,16762.53,102931.18,55404.76,0.2752,1,1,104,42,0.0,0.14,0.67,7.2,240.7,0.54,2020-11-11,47.3,75.72,50.51,106.36,20.58,-75.0,35.0,1.55,0.39,0.0,0.05,208.28,10.12,campanian_11nov_5_fc80_20x_000007.tif,301,303,0,481,81.12,81.61,1,436.81,3.28,26.84,2331,0.0,41,0.0,7837.9,1981794.0,0.15,13:37:50,2020-11-11T12:37:50.792,0.38,55404.76,227358.9,68.95,train/camp_11nov_5_fc80_20x_507.png,0
2933,512,78.76,122.63,0.45,748.4,676.76,525.76,0.2752,1,1,884,211,0.29,0.54,0.73,1.87,48.86,0.97,2020-11-11,10.01,14.7,49.41,108.05,3.58,-75.0,5.0,0.22,0.82,0.0,0.28,23.03,6.43,campanian_11nov_5_fc80_20x_000007.tif,81,48,490,481,99.42,18.86,1,58.92,2.16,26.08,2368,0.0,2,0.0,448.72,130537.0,0.57,13:37:52,2020-11-11T12:37:52.482,0.32,525.763,1662.395,8.34,train/camp_11nov_5_fc80_20x_512.png,0
2934,513,1493.57,2231.98,0.39,42505.2,50575.15,43421.29,0.2752,1,1,79,181,0.02,0.48,0.65,2.1,209.1,0.94,2020-11-11,43.61,65.67,38.5,108.27,4.36,90.0,10.0,0.15,0.87,0.0,0.23,100.91,23.16,campanian_11nov_5_fc80_20x_000007.tif,332,160,540,481,91.06,87.38,1,248.13,5.84,24.98,2373,0.0,72,0.0,7863.82,1899288.0,0.71,13:37:52,2020-11-11T12:37:52.702,0.34,43421.29,148289.3,34.96,train/camp_11nov_5_fc80_20x_513.png,0
2939,518,202.56,248.43,0.51,2143.98,2125.93,2168.69,0.2752,1,1,217,565,0.36,0.58,0.79,1.72,67.54,0.94,2020-11-11,16.06,20.64,46.96,110.62,3.08,80.0,5.0,0.11,0.9,0.0,0.32,29.6,9.6,campanian_11nov_5_fc80_20x_000007.tif,109,65,891,481,93.14,26.55,1,78.4,2.33,35.2,2425,0.0,7,0.0,2111.3,289013.0,0.7,13:37:55,2020-11-11T12:37:55.065,0.22,2168.692,4603.339,13.88,train/camp_11nov_5_fc80_20x_518.png,0
2941,520,503.98,1307.79,0.63,23544.82,30312.84,8510.94,0.2752,1,1,797,24,0.41,0.59,0.86,1.69,148.71,0.9,2020-11-11,25.33,46.46,46.34,111.0,2.98,70.0,-20.0,0.25,0.8,0.0,0.34,64.3,21.59,campanian_11nov_5_fc80_20x_000007.tif,200,166,1000,481,108.62,51.63,1,171.78,3.15,29.88,2433,0.0,20,0.0,2909.65,795218.0,0.72,13:37:55,2020-11-11T12:37:55.429,0.45,8510.939,52518.42,33.28,train/camp_11nov_5_fc80_20x_520.png,0
2953,532,184.1,190.2,0.37,380.41,5191.87,1879.08,0.2752,1,1,130,814,0.0,0.06,0.25,15.42,98.71,0.44,2020-11-11,15.31,30.56,46.47,113.94,46.43,75.0,5.0,1.6,0.38,0.0,0.02,101.46,2.18,campanian_11nov_5_fc80_20x_000008.tif,146,75,0,0,94.23,39.03,1,207.28,2.22,29.14,2498,0.0,10,0.0,536.03,267612.0,0.32,13:37:58,2020-11-11T12:37:58.383,0.5,1879.082,14936.52,15.26,train/camp_11nov_5_fc80_20x_532.png,0
2960,539,619.85,749.81,0.37,7847.93,10044.97,11609.1,0.2752,1,1,896,565,0.0,0.42,0.62,2.4,127.41,0.91,2020-11-11,28.09,39.69,48.64,114.8,5.34,-70.0,10.0,0.2,0.83,0.0,0.19,65.84,12.32,campanian_11nov_5_fc80_20x_000008.tif,200,114,379,0,94.74,54.71,1,156.32,2.96,28.45,2517,10620.14,6,0.0,885.05,845287.0,0.6,13:37:59,2020-11-11T12:37:59.248,0.29,11609.1,32729.03,21.24,train/camp_11nov_5_fc80_20x_539.png,0
2978,557,222.42,237.47,0.41,1181.83,1858.28,2495.35,0.2752,1,1,972,747,0.1,0.28,0.66,3.52,71.82,0.87,2020-11-11,16.83,22.0,47.57,117.03,8.94,-60.0,20.0,0.64,0.61,0.0,0.11,49.35,5.52,campanian_11nov_5_fc80_20x_000008.tif,109,75,0,202,93.07,30.14,1,109.74,2.03,34.61,2566,1335.01,3,0.0,172.66,315046.0,0.63,13:38:01,2020-11-11T12:38:01.474,0.24,2495.354,5577.78,12.95,train/camp_11nov_5_fc80_20x_557.png,0
2981,560,246.1,258.42,0.56,2474.58,2495.77,2904.16,0.2752,1,1,132,876,0.38,0.63,0.81,1.58,68.83,0.96,2020-11-11,17.7,21.05,45.64,118.08,2.58,50.0,-25.0,0.02,0.98,0.0,0.39,27.6,10.68,campanian_11nov_5_fc80_20x_000008.tif,84,82,160,202,75.05,27.12,1,76.58,1.65,28.76,2589,0.0,3,0.0,321.42,279188.0,0.59,13:38:02,2020-11-11T12:38:02.522,0.16,2904.157,4884.834,15.28,train/camp_11nov_5_fc80_20x_560.png,0
2985,564,832.47,1012.79,0.68,14974.91,20599.95,18068.27,0.2752,1,1,102,12,0.52,0.54,0.91,1.84,126.89,0.93,2020-11-11,32.56,39.52,41.8,118.86,3.5,25.0,-60.0,0.36,0.74,0.0,0.29,61.61,17.59,campanian_11nov_5_fc80_20x_000008.tif,151,176,365,202,77.35,45.46,1,158.41,2.9,33.47,2606,6630.89,7,0.0,4198.94,916147.0,0.68,13:38:03,2020-11-11T12:38:03.291,0.18,18068.27,32322.86,30.48,train/camp_11nov_5_fc80_20x_564.png,0
2986,565,724.92,836.99,0.89,12334.44,21047.65,14682.38,0.2752,1,1,639,285,0.45,0.59,0.87,1.69,125.1,0.89,2020-11-11,30.38,38.95,54.08,119.0,2.97,60.0,-70.0,0.19,0.84,0.0,0.34,51.77,17.42,campanian_11nov_5_fc80_20x_000008.tif,157,150,543,202,103.46,43.61,1,138.38,3.12,27.27,2609,0.0,34,0.0,1254.22,1072697.0,0.6,13:38:03,2020-11-11T12:38:03.433,0.22,14682.38,30939.73,32.76,train/camp_11nov_5_fc80_20x_565.png,0
2989,568,233.3,492.28,0.39,5108.99,5173.51,2680.54,0.2752,1,1,859,461,0.11,0.52,0.65,1.92,100.69,0.93,2020-11-11,17.23,31.19,63.2,119.58,3.77,-70.0,25.0,0.09,0.92,0.0,0.27,45.19,12.0,campanian_11nov_5_fc80_20x_000008.tif,157,99,791,202,101.94,41.5,1,114.38,2.58,21.88,2622,0.0,7,0.0,1043.52,360769.0,0.67,13:38:04,2020-11-11T12:38:04.018,0.45,2680.542,15883.13,16.24,train/camp_11nov_5_fc80_20x_568.png,0
2998,577,103.2,104.23,0.5,416.43,688.89,788.67,0.2752,1,1,123,504,0.17,0.33,0.68,3.05,47.85,0.85,2020-11-11,11.46,14.38,45.68,120.26,7.43,-75.0,10.0,0.75,0.57,0.0,0.13,30.82,4.15,campanian_11nov_5_fc80_20x_000008.tif,78,51,1216,202,76.9,17.6,1,69.94,1.52,42.01,2637,288.97,1,0.0,145.57,128649.0,0.4,13:38:04,2020-11-11T12:38:04.699,0.2,788.6659,1556.474,9.26,train/camp_11nov_5_fc80_20x_577.png,0
